FullName,CPSUnit,Latitude,Longitude,Location
Jane Addams Elementary School,2020, 41.698738800280616,-87.53297604185967 ,"(41.7935651919, -87.6414185840999)"
Louis A Agassiz Elementary School,2030, 41.934126298153714,-87.65622866786502 ,"(41.8496748576, -87.6253515103)"
Louisa May Alcott Elementary School,2040, 41.929849852681734,-87.64641313686322 ,"(41.6987389279, -87.532939427)"
Ira F Aldridge Elementary School,2710, 41.657404970403604,-87.60647384721634 ,"(41.7898283982, -87.6224160902)"
Ariel Elementary Community Academy,3640, 41.81117346222018,-87.59750293141377 ,"(41.9487642821, -87.757078851)"
Phillip D Armour Elementary School,2070, 41.83385390993294,-87.65065315593255 ,"(41.9341255571999, -87.6562654048999)"
George Armstrong International Studies ES,2080, 42.01014998439017,-87.6844418272272 ,"(41.9298498527, -87.6464131368)"
Ashburn Community Elementary School,7100, 41.74235056725263,-87.70960968185929 ,"(41.8977916289999, -87.7467304026999)"
Arthur R Ashe Elementary School,6900, 41.740183791387416,-87.60117440816522 ,"(41.8892867399, -87.7050619661)"
Asian Human Services - Passages Charter School,6850, 41.98337143642813,-87.67116041959069 ,"(41.9833988715, -87.6711611724)"
Crispus Attucks Elementary School,2100, 41.80211260680937,-87.62578338610683 ,"(42.0101225919, -87.6844396327)"
John J Audubon Elementary School,2110, 41.945062225026966,-87.68104105326039 ,"(41.9160453773, -87.7217055907999)"
Avalon Park Elementary School,2130, 41.748246994406024,-87.59165381066411 ,"(41.9450628176999, -87.6810043046999)"
Mariano Azuela Elementary School,8660, 41.77107907304825,-87.73992023347101 ,"(42.0029587617, -87.7058804165999)"
Alice L Barnard Computer Math & Science Ctr ES,2150, 41.70513101172685,-87.65807422421867 ,"(41.8678330978, -87.6803808588999)"
John Barry Elementary School,2160, 41.932510583541145,-87.73938835131963 ,"(41.74824651, -87.5916904494)"
Clara Barton Elementary School,2170, 41.754193850494374,-87.67092712893017 ,"(41.7051391774, -87.6580392631999)"
Perkins Bass Elementary School,2180, 41.774246450896506,-87.65353241973901 ,"(41.9325112439, -87.7393516116)"
Newton Bateman Elementary School,2190, 41.95821983935837,-87.70215096221916 ,"(41.7541944450999, -87.6708904894999)"
Daniel C Beard Elementary School,4950, 41.970124882818354,-87.7896303312866 ,"(41.8444275991, -87.6413402081)"
Edward Beasley Elementary Magnet Academic Center,6660, 41.79846496021468,-87.6256915786754 ,"(41.8729124425999, -87.7533255674999)"
Jean Baptiste Beaubien Elementary School,2240, 41.97239394518009,-87.75756503952019 ,"(41.9711409283999, -87.7097007456)"
Ludwig Van Beethoven Elementary School,6540, 41.80913475789258,-87.62713680532485 ,"(41.9150378914999, -87.7003170428999)"
Jacob Beidler Elementary School,2250, 41.88532104046794,-87.70585481253717 ,"(41.8678117612, -87.7704542241)"
Hiram H Belding Elementary School,2260, 41.95893849417326,-87.7340197291338 ,"(41.9723932563999, -87.7576018010999)"
Alexander Graham Bell Elementary School,2270, 41.949529799045145,-87.68601824452615 ,"(41.8853484787, -87.7058553743)"
Belmont-Cragin Elementary School,3390, 41.920150047038405,-87.75684290346346 ,"(41.8507709758, -87.7051487741999)"
Frank I Bennett Elementary School,2280, 41.710434949606494,-87.61739045569578 ,"(41.9589380489999, -87.7340564895999)"
Robert A Black Magnet Elementary School,7860, 41.72969236172512,-87.57664295132463 ,"(41.8144992256999, -87.6083820914)"
James G Blaine Elementary School,2300, 41.950780518746996,-87.66496784430818 ,"(41.9495303969, -87.6859814939)"
Blair Early Childhood Center,4990, 41.77655627015667,-87.79060442493098 ,"(41.6971428943, -87.6972778573999)"
Carrie Jacobs Bond Elementary School,6550, 41.76536056668392,-87.65301778635454 ,"(41.906791341, -87.7671061240999)"
Daniel Boone Elementary School,2320, 42.00341160771439,-87.69746282200741 ,"(41.7104344974, -87.6174270740999)"
Edward A Bouchet Math & Science Academy ES,2430, 41.76084748107714,-87.57607485767996 ,"(41.8829974809999, -87.6706456816999)"
Myra Bradwell Communications Arts & Sciences ES,2340, 41.75436513223218,-87.55714197049453 ,"(42.0034120328, -87.6974260358)"
Joseph Brennemann Elementary School,6600, 41.95998415558951,-87.6497491648478 ,"(41.7653611216, -87.6529811393999)"
Lorenz Brentano Math & Science Academy ES,2370, 41.93096609655106,-87.69629419836072 ,"(41.753429756, -87.7087305671)"
Norman A Bridge Elementary School,2380, 41.9491143867471,-87.7986689200339 ,"(41.6866593004, -87.6336687353999)"
Orville T Bright Elementary School,2390, 41.69972622174497,-87.56208422941677 ,"(41.930965409, -87.6963309356)"
Brighton Park Elementary School,7470, 41.823900000855616,-87.6920769295046 ,"(41.6722819706999, -87.6505377414)"
Bronzeville Lighthouse Charter Elementary School,3990, 41.81927661121183,-87.62662180147294 ,"(41.8192491733, -87.6266211796999)"
Ronald Brown Elementary Community Academy,5040, 41.66487335020802,-87.63895772498718 ,"(41.9501051908, -87.7168324768999)"
William H Brown Elementary School,2400, 41.8829967847415,-87.6706823910512 ,"(41.9491153741999, -87.7986321844999)"
Charles S Brownell Elementary School,2410, 41.77162036005252,-87.62174596862063 ,"(41.6997265279999, -87.5620476155)"
Milton Brunson Math & Science Specialty ES,2550, 41.897662572094205,-87.7656056579403 ,"(41.9123853466999, -87.6686611344999)"
