SchoolID,SchoolName,FullName,CPS Unit,Latitude,Longitude
400010,Ace Technical Chtr HS,"Architecture, Construction, and Engineering(ACE)Technical Charter School",7950,41.796122,-87.62581237
609772,Addams,Jane Addams Elementary School,2020,41.79356519,-87.64141858
609773,Agassiz,Louis A Agassiz Elementary School,2030,41.84967486,-87.62535151
610513,Air Force HS,Air Force Academy High School,1055,41.82777441,-87.67757853
610212,Albany Park,Albany Park Multicultural Academy,6290,41.69623491,-87.62714703
609774,Alcott ES,Louisa May Alcott Elementary School,2040,41.69873893,-87.53293943
610524,Alcott HS,Alcott High School for the Humanities,8035,41.77122167,-87.66649323
609848,Aldridge,Ira F Aldridge Elementary School,2710,41.7898284,-87.62241609
400012,Amandla Chtr HS,Amandla Charter High School,2035,41.77079113,-87.63522955
609780,Ames,Ames Middle School,2090,41.83382648,-87.6506521
609695,Amundsen HS,Roald Amundsen High School,1210,41.89000464,-87.70733287
609951,Ariel,Ariel Elementary Community Academy,3640,41.94876428,-87.75707885
609777,Armour,Phillip D Armour Elementary School,2070,41.93412556,-87.6562654
609779,"Armstrong, G",George Armstrong International Studies ES,2080,41.92984985,-87.64641314
610287,Ashburn,Ashburn Community Elementary School,7100,41.89779163,-87.7467304
610268,Ashe,Arthur R Ashe Elementary School,6900,41.88928674,-87.70506197
400060,Asian Human Services Chtr - Passages,Asian Human Services - Passages Charter School,6850,41.98339887,-87.67116117
400013,Aspira Chtr - Early College HS,ASPIRA Charter - Early College,7803,41.93732683,-87.72683602
400017,Aspira Chtr - Haugan,ASPIRA Charter - Haugan Campus,3500,41.96643311,-87.72182521
400015,Aspira Chtr - Ramirez HS,ASPIRA Charter - Mirta Ramirez Computer Science,7800,41.91250483,-87.69697811
609781,Attucks,Crispus Attucks Elementary School,2100,42.01012259,-87.68443963
609782,Audubon,John J Audubon Elementary School,2110,41.91604538,-87.72170559
400018,Austin Bus & Entrp HS,Austin Business and Entrepreneurship Academy HS,7020,41.88521269,-87.76328559
610501,Austin Poly HS,Austin Polytechnical Academy High School,1065,41.88318708,-87.67763529
609786,Avalon Park,Avalon Park Elementary School,2130,41.94506282,-87.6810043
610544,Azuela,Mariano Azuela Elementary School,8660,42.00295876,-87.70588042
610563,Back Of The Yards Ib HS,Back of the Yards IB HS,9623,41.80651885,-87.68978067
610555,Banner Academy West HS,Banner Academy West,8685,41.7588191,-87.5763532
609788,Barnard,Alice L Barnard Computer Math & Science Ctr ES,2150,41.8678331,-87.68038086
609789,Barry,John Barry Elementary School,2160,41.74824651,-87.59169045
609790,Barton,Clara Barton Elementary School,2170,41.70513918,-87.65803926
609791,Bass,Perkins Bass Elementary School,2180,41.93251124,-87.73935161
609792,Bateman,Newton Bateman Elementary School,2190,41.75419445,-87.67089049
610083,Beard,Daniel C Beard Elementary School,4950,41.8444276,-87.64134021
610246,Beasley,Edward Beasley Elementary Magnet Academic Center,6660,41.87291244,-87.75332557
609796,Beaubien,Jean Baptiste Beaubien Elementary School,2240,41.97114093,-87.70970075
610237,Beethoven,Ludwig Van Beethoven Elementary School,6540,41.91503789,-87.70031704
609797,Beidler,Jacob Beidler Elementary School,2250,41.86781176,-87.77045422
609798,Belding,Hiram H Belding Elementary School,2260,41.97239326,-87.7576018
609799,Bell,Alexander Graham Bell Elementary School,2270,41.88534848,-87.70585537
609922,Belmont-cragin,Belmont-Cragin Elementary School,3390,41.85077098,-87.70514877
609800,Bennett,Frank I Bennett Elementary School,2280,41.95893805,-87.73405649
610350,Black,Robert A Black Magnet Elementary School,7860,41.81449923,-87.60838209
